ABL1--BCR
AC004980.7--SRRM3
AC005534.8--LINC01006
AC005618.6--PCDHGB7
ACOT9--APOO
ADD1--FAM193A
AGO2--TRAPPC9
ALB--EXOSC9
ASMTL--P2RY8
ASXL1--TM9SF4
ATP2C1--NEK11
AXIN1--LUC7L
AXIN1--TMEM8A
BAIAP2L1--ANKIB1
BCAR1--CFDP1
BCAS3--VMP1
BCAS4--BCAS3
BCR--ABL1
BMPR1B--PDLIM5
BOLA2B--SMG1P2
BPTF--LRRC37A2
BRAF--SND1
BUB1B--EIF2AK4
CA13--CA3
CAPZB--TMCO4
CCAT1--CASC8
CCDC6--RET
CD44--CAPRIN1
CD55--C4BPA
CD59--FBXO3
CD74--ROS1
CELA3A--CELA2A
CELA3A--CPA1
CELA3A--CPA2
CELA3A--CTRC
CELA3A--PNLIP
CELA3B--CELA2B
CH17-264B6.3--CCDC146
CH17-431G21.1--AC131056.5
CHST9--AQP4
CLPS--CELA3A
COMMD10--AP3S1
CPA1--CLPS
CPA1--CPA2
CREBBP--TRAP1
CRYL1--GJB6
CTC-344H19.4--IGFL2
CTD-2008L17.1--RP11-456O19.2
CTRB1--CELA3B
CTRB1--CPA1
CTRB1--CTRC
CTRB2--CTRC
CTSC--RAB38
CXADR--LINC01549
CYP4B1--CYP4X1
CYTH1--USP36
DENND1A--PSMB7
DNAJB1--PRKACA
DYRK1A--TTC3
EEF1DP3--FRY
EGFR--SEPT14
EHBP1--AC093159.1
EHBP1--COMMD1
EIF4E3--FOXP1
EML4--ALK
EPB41L1--CNBD2
ERC1--RET
ERICH1-AS1--CTD-2281E23.2
ETNK1--RP11-114G22.1
ETV6--NTRK3
EXOC6B--SFXN5
EZR--ROS1
FAM182B--CTD-2514C3.1
FBXL20--GSDMB
FBXW4--MGEA5
FGF10--RP11-53O19.1
FGFR3--TACC3
FLNB--SLMAP
FRMD6-AS2--RP11-255G12.3
GAS6-AS1--TMEM255B
GIGYF2--EFHD1
GP2--CTRB2
GTPBP10--CDK14
HERPUD2--AOAH
HIC2--PI4KA
HTATSF1--BRS3
IGSF5--PCP4
IL20RB--NCK1
JUP--P3H4
KANSL1--ARL17A
KANSL1--ARL17B
KIAA0319L--PSMB2
KMT2A--ELL
KMT2A--MLLT10
KMT2E--RP11-325F22.2
KPNA1--PARP9
KRT18P59--PKNOX2
LANCL2--RP11-745C15.2
LDLR--SMARCA4
LINC00511--SOX9-AS1
LINC01169--SMAD6
LINC01212--MITF
LINC01252--ETV6
LRBA--SH3D19
LRRC8D--ZNF326
LY96--RP1-16A9.1
LYN--TGS1
MAEA--FAM9B
MAP2K1--DIS3L
MAPKAPK5--ACAD10
MET--CAV1
MKL1--ST13
MROH1--CYC1
NAIP--OCLN
NBAS--DDX1
NCKAP1--FRZB
NCKAP5--LYPD1
NCOA4--RET
NDRG1--ERG
NEMF--SOS2
NFAT5--WWP2
NIPBL--WDR70
NRIP1--AF127936.7
NUMB--HEATR4
NUTM2A-AS1--MINPP1
PABPC1L--YWHAB
PACSIN2--ARFGAP3
PARG--BMS1
PAWR--PPP1R12A
PAX8--PPARG
PCAT18--KCTD1
PDE4D--PPAP2A
PFKFB3--RP11-563J2.2
PHLDB1--ARCN1
PLXND1--TMCC1
PML--RARA
POLR1A--REEP1
PPARG--PAX8
PPFIA1--ANO1
PPP1R12C--PPP6R1
PRCC--TFE3
PRRC2B--NUP214
PTPN1--LINC01270
PTPN12--RSBN1L
PTPN2--RP11-773H22.4
PTPRF--ST3GAL3
PTPRK--RSPO3
PVT1--MYC
RAB30--PRCP
RALA--YAE1D1
RAPGEF5--STEAP1B
RARA--PML
RBM10--SSX5
RMND5A--AC083899.3
RNF138--RNF125
RNF4--WHSC1
RP11-109J4.1--ATP10B
RP11-10A14.5--RP11-115J16.1
RP11-206M11.7--TM4SF1-AS1
RP11-230B22.1--ATG4C
RP11-274B21.1--METTL2B
